trial,network,nodes,edges,probability,distribution,task,proportion,peak,power,srd,samples,steps,time,strategy,init_max_performance,p0,p500,s0,s500
6,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,4,500,6.16,Conformity,1.0,0.2654,0.7916,11,4
6,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,4,500,6.97,Random,1.0,0.2654,0.7916,11,4
7,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,4,500,5.78,Best,1.0,0.2002,0.8013,11,6
7,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,4,500,6.51,Conformity,1.0,0.2002,0.8013,11,6
7,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,4,500,6.94,Random,1.0,0.2002,0.8013,11,6
8,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,4,500,5.37,Best,1.0,0.2723,0.7777,11,7
8,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,4,500,5.72,Conformity,1.0,0.2723,0.7777,11,7
8,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,4,500,6.74,Random,1.0,0.2723,0.7788,11,6
9,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,4,500,5.22,Best,1.0,0.267,0.7889,11,5
9,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,4,500,5.67,Conformity,1.0,0.267,0.7889,11,5
9,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,4,500,6.93,Random,1.0,0.267,0.7889,11,5
10,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,4,500,5.57,Best,1.0,0.2157,0.7783,11,8
10,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,4,500,5.79,Conformity,1.0,0.2157,0.7783,11,7
10,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,4,500,7.02,Random,1.0,0.2157,0.7794,11,6
1,FC,100,4950,0.1,ND,Ackley,50,31,8,1,5,500,6.21,Best,1.0,0.05,0.5301,11,5
1,FC,100,4950,0.1,ND,Ackley,50,31,8,1,5,500,6.14,Conformity,1.0,0.05,0.5301,11,5
1,FC,100,4950,0.1,ND,Ackley,50,31,8,1,5,500,7.19,Random,1.0,0.05,0.5301,11,5
2,FC,100,4950,0.1,ND,Ackley,50,31,8,1,5,500,5.78,Best,1.0,0.14,0.5601,11,5
2,FC,100,4950,0.1,ND,Ackley,50,31,8,1,5,500,6.04,Conformity,1.0,0.14,0.5601,11,5
2,FC,100,4950,0.1,ND,Ackley,50,31,8,1,5,500,7.04,Random,1.0,0.14,0.5601,11,5
3,FC,100,4950,0.1,ND,Ackley,50,31,8,1,5,500,5.72,Best,1.0,0.1,0.5501,11,6
3,FC,100,4950,0.1,ND,Ackley,50,31,8,1,5,500,6.15,Conformity,1.0,0.1,0.5501,11,6
3,FC,100,4950,0.1,ND,Ackley,50,31,8,1,5,500,7.41,Random,1.0,0.1,0.5501,11,6
4,FC,100,4950,0.1,ND,Ackley,50,31,8,1,5,500,5.9,Best,1.0,0.1,0.5601,11,6
4,FC,100,4950,0.1,ND,Ackley,50,31,8,1,5,500,6.0,Conformity,1.0,0.1,0.5601,11,6
4,FC,100,4950,0.1,ND,Ackley,50,31,8,1,5,500,7.19,Random,1.0,0.1,0.5601,11,6
5,FC,100,4950,0.1,ND,Ackley,50,31,8,1,5,500,5.87,Best,1.0,0.11,0.5401,11,5
5,FC,100,4950,0.1,ND,Ackley,50,31,8,1,5,500,5.93,Conformity,1.0,0.11,0.5401,11,5
5,FC,100,4950,0.1,ND,Ackley,50,31,8,1,5,500,7.28,Random,1.0,0.11,0.5401,11,5
6,FC,100,4950,0.1,ND,Ackley,50,31,8,1,5,500,6.17,Best,1.0,0.11,0.5501,11,6
6,FC,100,4950,0.1,ND,Ackley,50,31,8,1,5,500,6.05,Conformity,1.0,0.11,0.5501,11,6
6,FC,100,4950,0.1,ND,Ackley,50,31,8,1,5,500,7.71,Random,1.0,0.11,0.5501,11,6
7,FC,100,4950,0.1,ND,Ackley,50,31,8,1,5,500,6.06,Best,1.0,0.11,0.5501,11,4
7,FC,100,4950,0.1,ND,Ackley,50,31,8,1,5,500,6.23,Conformity,1.0,0.11,0.5501,11,4
7,FC,100,4950,0.1,ND,Ackley,50,31,8,1,5,500,8.42,Random,1.0,0.11,0.5501,11,4
8,FC,100,4950,0.1,ND,Ackley,50,31,8,1,5,500,8.78,Best,1.0,0.08,0.5501,11,7
8,FC,100,4950,0.1,ND,Ackley,50,31,8,1,5,500,6.49,Conformity,1.0,0.08,0.5501,11,7
8,FC,100,4950,0.1,ND,Ackley,50,31,8,1,5,500,7.47,Random,1.0,0.08,0.5501,11,7
9,FC,100,4950,0.1,ND,Ackley,50,31,8,1,5,500,6.03,Best,1.0,0.11,0.5401,11,5
9,FC,100,4950,0.1,ND,Ackley,50,31,8,1,5,500,6.02,Conformity,1.0,0.11,0.5401,11,5
9,FC,100,4950,0.1,ND,Ackley,50,31,8,1,5,500,7.08,Random,1.0,0.11,0.5401,11,5
10,FC,100,4950,0.1,ND,Ackley,50,31,8,1,5,500,5.83,Best,1.0,0.14,0.5801,11,4
10,FC,100,4950,0.1,ND,Ackley,50,31,8,1,5,500,5.99,Conformity,1.0,0.14,0.5801,11,4
10,FC,100,4950,0.1,ND,Ackley,50,31,8,1,5,500,7.16,Random,1.0,0.14,0.5801,11,4
1,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,5,500,5.5,Best,1.0,0.2578,0.7866,11,7
1,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,5,500,5.84,Conformity,1.0,0.2578,0.7866,11,7
1,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,5,500,7.33,Random,1.0,0.2578,0.7877,11,7
2,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,5,500,6.24,Best,1.0,0.2445,0.7866,11,7
2,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,5,500,17.53,Conformity,1.0,0.2445,0.7877,11,6
2,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,5,500,10.54,Random,1.0,0.2445,0.7877,11,6
3,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,5,500,5.72,Best,1.0,0.2223,0.7872,11,7
3,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,5,500,6.2,Conformity,1.0,0.2223,0.7872,11,7
3,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,5,500,7.36,Random,1.0,0.2223,0.7872,11,7
4,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,5,500,5.66,Best,1.0,0.2025,0.7996,11,7
4,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,5,500,5.74,Conformity,1.0,0.2025,0.7996,11,7
4,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,5,500,7.9,Random,1.0,0.2025,0.7996,11,7
5,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,5,500,5.64,Best,1.0,0.2283,0.7982,11,6
5,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,5,500,5.94,Conformity,1.0,0.2283,0.7982,11,6
5,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,5,500,7.55,Random,1.0,0.2283,0.7982,11,6
6,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,5,500,5.6,Best,1.0,0.2187,0.7866,11,7
6,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,5,500,6.23,Conformity,1.0,0.2187,0.7866,11,7
6,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,5,500,8.07,Random,1.0,0.2187,0.7876,11,7
7,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,5,500,5.53,Best,1.0,0.2422,0.7913,11,7
7,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,5,500,6.14,Conformity,1.0,0.2422,0.7923,11,7
